id,title,purpose,prompt,negative_prompt,aspect_ratio,notes
1,嘉義城市晨景主視覺,網站封面與影片開場,"嘉義市清晨天際線與通勤街景，寫實新聞攝影風格，自然光，AI 情境示意圖，非真實新聞照片","卡通風，過度飽和，誇張特效",16:9,"科技、文化、幸福開場"
2,傳統市場數位收付,科技落地進社區,"西區傳統市場攤商使用平板收款，長輩與年輕人購物互動，紀實攝影，AI 情境示意圖，非真實新聞照片","Logo 特寫，擺拍感過重",3:2,"市場數位升級"
3,社區長輩數位課程,高齡友善,"社區活動中心，志工教長輩使用手機 App，溫暖自然光，紀錄片風格，AI 情境示意圖，非真實新聞照片","空景無人，卡通化",3:2,"數位近便"
4,居家智慧健康量測,智慧健康,"居家場景，長輩使用健康量測裝置，家屬手機收到提醒，寫實生活攝影，AI 情境示意圖，非真實新聞照片","醫療恐慌畫面，痛苦誇張",4:3,"智慧照護"
5,青年共創空間討論,青年創業,"嘉義青年在共享辦公空間討論產品原型，筆電與白板，明亮自然光，AI 情境示意圖，非真實新聞照片","豪華辦公室過度精修",16:9,"在地創業"
6,無人機測試場,軍民兩用產業,"平原試飛場，工程師檢查中型無人機，安全裝備完整，紀實攝影，AI 情境示意圖，非真實新聞照片","戰鬥場面，武器瞄準",16:9,"避免煽動"
7,農業無人機巡田,科技助農,"稻田上空農業無人機巡田，地面技師監控平板，清晰自然，AI 情境示意圖，非真實新聞照片","災難煙霧，末日風",16:9,"產業多元"
8,半導體供應鏈作業,科技產業,"潔淨明亮的產線走道，工程人員檢視設備參數，寫實紀錄感，AI 情境示意圖，非真實新聞照片","機密標籤特寫，品牌商標特寫",16:9,"產業升級"
9,企業防災演練 T-CERT,城市韌性,"企業會議室進行防災演練簡報與桌上兵推，紀實新聞攝影，AI 情境示意圖，非真實新聞照片","恐慌逃難畫面",16:9,"防災治理"
10,防洪監測中心,防災治理,"城市防洪監測中心，多螢幕資料看板，值勤人員專注操作，AI 情境示意圖，非真實新聞照片","軍事指揮室紅色警報",16:9,"民生韌性"
11,社區公共 Wi-Fi 點,智慧社區基建,"公共空間免費 Wi-Fi 服務點，市民以手機辦理生活事項，寫實攝影，AI 情境示意圖，非真實新聞照片","霓虹科技特效過多",3:2,"基礎建設"
12,智慧公車站牌,便民交通,"公車站智慧看板顯示到站資訊，市民平常候車場景，日間紀實攝影，AI 情境示意圖，非真實新聞照片","車牌可辨，Logo 特寫",3:2,"交通升級"
13,校園 AI 素養教學,科技扎根,"中小學生在教室操作 AI 學習工具，老師引導，正向自然，AI 情境示意圖，非真實新聞照片","考試壓力表情，卡通感",4:3,"教育扎根"
14,樂齡據點活動,社區陪伴,"樂齡據點舉辦健康講座與手作課程，長輩互動，溫暖光線，AI 情境示意圖，非真實新聞照片","空蕩教室，負面情緒",3:2,"幸福社區"
15,文化科技展演夜景,文化主張,"嘉義街區夜間文化科技展演，居民散步互動，文藝紀實攝影，AI 情境示意圖，非真實新聞照片","賽博龐克過重，過曝霓虹",16:9,"文化溫度"
16,獨立書店閱讀活動,人文品牌,"獨立書店閱讀分享會，青年與長輩交流，暖色調寫實攝影，AI 情境示意圖，非真實新聞照片","商業硬廣感，誇張擺拍",3:2,"藝文氣息"
17,青年徵才媒合活動,留鄉就業,"地方企業與青年就業媒合活動，簡報與交流，紀實攝影，AI 情境示意圖，非真實新聞照片","空洞握手照，過度商業",16:9,"在地職缺"
18,產官學圓桌會議,政策協作,"政府、學校、企業代表圓桌討論人才與產業合作，AI 情境示意圖，非真實新聞照片","衝突爭執畫面",16:9,"跨域治理"
19,公園家庭生活場景,幸福生活,"傍晚公園家庭散步、長輩休憩、孩童遊戲，溫暖寫實，AI 情境示意圖，非真實新聞照片","陰暗恐怖風",16:9,"幸福主軸"
20,嘉義城市全景收尾,願景收尾,"嘉義城市高點全景與晨曦光線，帶有希望感，真實攝影語言，AI 情境示意圖，非真實新聞照片","過度 HDR，不自然天空",21:9,"影片收尾"
